Sr.No.,REGION,ZONE,CIRCLE,DIVISION,SUB-DIVISION,BU,SS NO,SS NAME,FED NO,FEEDER NAME,DTC CODE,DTC_NAME,CAPACITY KVA,POLE_NO_FROM_STN,NODE NUMBER,NO_OF_POLES_FR_NODE,METER INSTALLED,METER NUMBER,METER CT RATIO,CONNECTED CT RATIO,METER PT RATIO,CONNECTED PT RATIO,METER WORKING,CURRENT READING,LATITUDE,LONGITUDE,SURVEY DONE BY,UPLOADED ON,NEW DTC,IS IT NODE
1,KOKAN REGION,NASIK ZONE,NASHIK CIRCLE,CHANDWAD DIVISION,NIPHAD,5428,174041,33Kv Bodhdi Substation,205,11 KV SAWRI AG,4556877,towar latabai gambhire,25,206,,,NO,-,,,,,YES,NO METER,20.038962,74.2034176,2189534,13-06-2020 15:25,YES,NO
2,KOKAN REGION,NASIK ZONE,NASHIK CIRCLE,CHANDWAD DIVISION,NIPHAD,5428,184005,33/11 KV DEOGAON,204,KH ZUNGE                      ,4256417,Bhaguji Sahadu Nagare sarole thadi,100,,,,NO,-,,,,,YES,NO METER,19.9957484,74.1982413,2336081,24-06-2020 14:03,NO,NO
3,KOKAN REGION,NASIK ZONE,NASHIK CIRCLE,CHANDWAD DIVISION,NIPHAD,5428,184005,33/11 KV DEOGAON,204,KH ZUNGE                      ,4256418,Khedla Road,100,221,,,NO,-,,,,,YES,NO METER,19.9853372,74.2053966,2336081,24-06-2020 14:03,NO,NO
4,KOKAN REGION,NASIK ZONE,NASHIK CIRCLE,CHANDWAD DIVISION,NIPHAD,5428,184005,33/11 KV DEOGAON,204,KH ZUNGE                      ,4256423,Khardiya Ohal,100,233,,,NO,-,,,,,YES,NO METER,19.995207,74.1981349,2336081,24-06-2020 14:03,NO,NO
5,KOKAN REGION,NASIK ZONE,NASHIK CIRCLE,CHANDWAD DIVISION,NIPHAD,5428,184005,33/11 KV DEOGAON,204,KH ZUNGE                      ,4256424,Arjun Bharade,100,235,,,NO,-,,,,,YES,NO METER,19.9935474,74.2056897,2336081,24-06-2020 14:03,NO,NO
6,KOKAN REGION,NASIK ZONE,NASHIK CIRCLE,CHANDWAD DIVISION,NIPHAD,5428,184028,PIMPALAS,201,SUKENE                        ,2561082,Lalwani,25,78,12,3,NO,-,,,,,YES,NO METER,20.0729774,74.0118342,2548674,02-06-2020 13:27,NO,YES
7,KOKAN REGION,NASIK ZONE,NASHIK CIRCLE,CHANDWAD DIVISION,NIPHAD,5428,184028,PIMPALAS,201,SUKENE                        ,2561084,Parag Suryawanshi 1 ph,25,55,3,13,NO,-,,,,,YES,NO METER,20.0466267,74.0279925,2548674,01-06-2020 14:47,NO,YES
8,KOKAN REGION,NASIK ZONE,NASHIK CIRCLE,CHANDWAD DIVISION,NIPHAD,5428,184028,PIMPALAS,201,SUKENE                        ,2563006,RAHANE WASTI 1PH,25,57,10,1,NO,-,,,,,NO,NO METER,20.0607853,74.0246875,2548674,29-12-2020 10:33,NO,YES
9,KOKAN REGION,NASIK ZONE,NASHIK CIRCLE,CHANDWAD DIVISION,NIPHAD,5428,184028,PIMPALAS,201,SUKENE                        ,4256801,ONA ROAD HIGH SCHOOL SUKENE,200,83,13,2,NO,-,,,,,YES,NO METER,20.0598583,73.99898,2548674,02-06-2020 13:55,NO,YES
10,KOKAN REGION,NASIK ZONE,NASHIK CIRCLE,CHANDWAD DIVISION,NIPHAD,5428,184028,PIMPALAS,201,SUKENE                        ,4256802,DESHMUKH MALA SUKENE,100,70,10,1,YES,076-057417,NA,NA,NA,NA,NO,,20.0684465,74.0136704,2548674,02-06-2020 13:11,NO,YES
